timestamp,box_uid,box_title,prev_status,new_status,reason
2026-01-07T10:43:12,box_1840573733840,Multitek S,UNKNOWN,GREEN,System nominal
2026-01-07T10:43:12,box_2096856031904,PAC Flash 1,UNKNOWN,GREEN,System nominal
2026-01-07T10:43:12,box_2301728638432,Viscocity,UNKNOWN,YELLOW,Warnings in: QC
2026-01-07T10:43:12,box_2301728342368,Handheld API,UNKNOWN,YELLOW,Warnings in: QC
2026-01-07T10:43:12,box_1834023730592,AQUAMAX KF,UNKNOWN,GREEN,System nominal
2026-01-07T10:43:12,box_1765996407293,Eraspec NIR,UNKNOWN,YELLOW,Warnings in: QC
2026-01-07T10:48:52,box_1870504657248,Agilent GC,UNKNOWN,YELLOW,Last in-spec QC is stale (cached).
2026-01-07T10:48:52,box_1870507241056,Multitek NS,UNKNOWN,YELLOW,Warnings in: QC
2026-01-07T10:48:52,box_1870507241920,Eraspec,UNKNOWN,GREEN,System nominal
2026-01-07T10:48:52,box_2201765855296,PAC Flash 2,UNKNOWN,GREEN,System nominal
2026-01-07T10:48:52,box_1840573737440,Auto Grabner,UNKNOWN,YELLOW,Warnings in: QC
2026-01-07T10:48:52,box_1840573738448,Mini Grabner,UNKNOWN,GREEN,System nominal
2026-01-07T10:48:52,box_1840573733840,Multitek S,UNKNOWN,GREEN,System nominal
2026-01-07T10:48:52,box_2096856031904,PAC Flash 1,UNKNOWN,GREEN,System nominal
2026-01-07T10:48:52,box_2301728638432,Viscocity,UNKNOWN,YELLOW,Warnings in: QC
2026-01-07T10:48:52,box_2301728342368,Handheld API,UNKNOWN,YELLOW,Warnings in: QC
2026-01-07T10:48:53,box_1834023730592,AQUAMAX KF,UNKNOWN,GREEN,System nominal
2026-01-07T10:48:53,box_1765996407293,Eraspec NIR,UNKNOWN,YELLOW,Warnings in: QC
2026-01-07T10:48:56,box_1870504657248,Agilent GC,UNKNOWN,YELLOW,Last in-spec QC is stale (cached).
2026-01-07T10:48:56,box_1870507241056,Multitek NS,UNKNOWN,YELLOW,Warnings in: QC
2026-01-07T10:48:56,box_1870507241920,Eraspec,UNKNOWN,GREEN,System nominal
2026-01-07T10:48:56,box_2201765855296,PAC Flash 2,UNKNOWN,GREEN,System nominal
2026-01-07T10:48:56,box_1840573737440,Auto Grabner,UNKNOWN,YELLOW,Warnings in: QC
2026-01-07T10:48:56,box_1840573738448,Mini Grabner,UNKNOWN,GREEN,System nominal
2026-01-07T10:48:56,box_1840573733840,Multitek S,UNKNOWN,GREEN,System nominal
2026-01-07T10:48:56,box_2096856031904,PAC Flash 1,UNKNOWN,GREEN,System nominal
2026-01-07T10:48:56,box_2301728638432,Viscocity,UNKNOWN,YELLOW,Warnings in: QC
2026-01-07T10:48:56,box_2301728342368,Handheld API,UNKNOWN,YELLOW,Warnings in: QC
2026-01-07T10:48:56,box_1834023730592,AQUAMAX KF,UNKNOWN,GREEN,System nominal
2026-01-07T10:48:56,box_1765996407293,Eraspec NIR,UNKNOWN,YELLOW,Warnings in: QC
2026-01-07T10:53:11,box_1870504657248,Agilent GC,UNKNOWN,YELLOW,Last in-spec QC is stale (cached).
2026-01-07T10:53:11,box_1870507241056,Multitek NS,UNKNOWN,YELLOW,Warnings in: QC
2026-01-07T10:53:11,box_1870507241920,Eraspec,UNKNOWN,GREEN,System nominal
2026-01-07T10:53:11,box_2201765855296,PAC Flash 2,UNKNOWN,GREEN,System nominal
2026-01-07T10:53:11,box_1840573737440,Auto Grabner,UNKNOWN,YELLOW,Warnings in: QC
2026-01-07T10:53:12,box_1840573738448,Mini Grabner,UNKNOWN,GREEN,System nominal
2026-01-07T10:53:12,box_1840573733840,Multitek S,UNKNOWN,GREEN,System nominal
2026-01-07T10:53:12,box_2096856031904,PAC Flash 1,UNKNOWN,GREEN,System nominal
2026-01-07T10:53:12,box_2301728638432,Viscocity,UNKNOWN,YELLOW,Warnings in: QC
2026-01-07T10:53:12,box_2301728342368,Handheld API,UNKNOWN,YELLOW,Warnings in: QC
2026-01-07T10:53:12,box_1834023730592,AQUAMAX KF,UNKNOWN,GREEN,System nominal
2026-01-07T10:53:12,box_1765996407293,Eraspec NIR,UNKNOWN,YELLOW,Warnings in: QC
2026-01-07T10:53:15,box_1870504657248,Agilent GC,UNKNOWN,YELLOW,Last in-spec QC is stale (cached).
2026-01-07T10:53:15,box_1870507241056,Multitek NS,UNKNOWN,YELLOW,Warnings in: QC
2026-01-07T10:53:15,box_1870507241920,Eraspec,UNKNOWN,GREEN,System nominal
2026-01-07T10:53:15,box_2201765855296,PAC Flash 2,UNKNOWN,GREEN,System nominal
2026-01-07T10:53:15,box_1840573737440,Auto Grabner,UNKNOWN,YELLOW,Warnings in: QC
2026-01-07T10:53:15,box_1840573738448,Mini Grabner,UNKNOWN,GREEN,System nominal
2026-01-07T10:53:15,box_1840573733840,Multitek S,UNKNOWN,GREEN,System nominal
2026-01-07T10:53:15,box_2096856031904,PAC Flash 1,UNKNOWN,GREEN,System nominal
2026-01-07T10:53:15,box_2301728638432,Viscocity,UNKNOWN,YELLOW,Warnings in: QC
2026-01-07T10:53:15,box_2301728342368,Handheld API,UNKNOWN,YELLOW,Warnings in: QC
2026-01-07T10:53:15,box_1834023730592,AQUAMAX KF,UNKNOWN,GREEN,System nominal
2026-01-07T10:53:15,box_1765996407293,Eraspec NIR,UNKNOWN,YELLOW,Warnings in: QC
